"year","orig_reg","dest_reg","migrants","orig_lon","orig_lat","dest_lon","dest_lat"
"1314","Norteast","Midwest",15069,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1314","Norteast","South",135644,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1314","Norteast","West",48392,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1314","Midwest","Norteast",13538,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1314","Midwest","South",82021,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1314","Midwest","West",54685,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1314","South","Norteast",67715,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1314","South","Midwest",45579,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1314","South","West",96414,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1314","West","Norteast",27865,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1314","West","Midwest",31160,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1314","West","South",105833,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
"1415","Norteast","Midwest",9305,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1415","Norteast","South",92289,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1415","Norteast","West",35095,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1415","Midwest","Norteast",8959,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1415","Midwest","South",50930,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1415","Midwest","West",35615,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1415","South","Norteast",51163,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1415","South","Midwest",32474,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1415","South","West",70609,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
